Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_SMD_THT3,10.62,76.75,180.0,top
D10,D,Diode_SMD_THT3,40.25,66.167,90.0,top
D11,D,Diode_SMD_THT3,40.25,47.244,90.0,top
D12,D,Diode_SMD_THT3,48.62,43.75,180.0,top
D13,D,Diode_SMD_THT3,53.87,81.25,180.0,top
D14,D,Diode_SMD_THT3,75.799,67.564,90.0,top
D15,D,Diode_SMD_THT3,57.25,47.33,90.0,top
D16,D,Diode_SMD_THT3,66.12,44.75,180.0,top
D17,D,Diode_SMD_THT3,97.5,83.73,90.0,top
D18,D,Diode_SMD_THT3,94.5,46.38,90.0,top
D19,D,Diode_SMD_THT3,75.75,49.73,90.0,top
D2,D,Diode_SMD_THT3,18.75,61.98,90.0,top
D20,D,Diode_SMD_THT3,94.5,25.63,90.0,top
D21,D,Diode_SMD_THT3,97.5,62.38,90.0,top
D22,D,Diode_SMD_THT3,94.5,65.08,90.0,top
D23,D,Diode_SMD_THT3,97.262,44.98,90.0,top
D24,D,Diode_SMD_THT3,97.25,26.73,90.0,top
D25,D,Diode_SMD_THT3,113.75,64.33,90.0,top
D26,D,Diode_SMD_THT3,116.5,54.98,90.0,top
D27,D,Diode_SMD_THT3,113.5,42.37,90.0,top
D28,D,Diode_SMD_THT3,113.899,26.23,90.0,top
D29,D,Diode_SMD_THT3,9.77,19.25,180.0,top
D3,D,Diode_SMD_THT3,19.0,42.48,90.0,top
D30,D,Diode_SMD_THT3,29.17,19.0,180.0,top
D31,D,Diode_SMD_THT3,40.0,9.48,90.0,top
D32,D,Diode_SMD_THT3,59.25,11.98,90.0,top
D33,D,Diode_SMD_THT3,106.234801,15.41859,150.0,top
D34,D,Diode_SMD_THT3,107.09359,5.086269,60.0,top
D4,D,Diode_SMD_THT3,37.25,23.58,90.0,top
D5,D,Diode_SMD_THT3,37.25,80.23,90.0,top
D6,D,Diode_SMD_THT3,37.25,60.48,90.0,top
D68,D,Diode_SMD_THT2,127.78859,3.191999,60.0,top
D7,D,Diode_SMD_THT3,37.5,42.98,90.0,top
D8,D,Diode_SMD_THT3,39.985,28.194,90.0,top
D9,D,Diode_SMD_THT3,39.985,85.344,90.0,top
J1,5PIN,trrs_jack2,122.25,93.13,-90.0,top
SW1,SW_PUSH,Kailh_socket_PG1350_optional_reversible,10.267,85.5475,0.0,bottom
SW10,SW_PUSH,Kailh_socket_PG1350_optional_reversible,48.367,71.26,0.0,bottom
SW11,SW_PUSH,Kailh_socket_PG1350_optional_reversible,48.367,52.21,0.0,bottom
SW12,SW_PUSH,Kailh_socket_PG1350_optional_reversible,48.367,33.16,0.0,top
SW13,SW_PUSH,Kailh_socket_PG1350_optional_reversible,67.417,92.6913,0.0,top
SW14,SW_PUSH,Kailh_socket_PG1350_optional_reversible,67.417,73.6413,0.0,top
SW15,SW_PUSH,Kailh_socket_PG1350_optional_reversible,67.417,54.5913,0.0,top
SW16,SW_PUSH,Kailh_socket_PG1350_optional_reversible,67.417,35.5413,0.0,top
SW17,SW_PUSH,Kailh_socket_PG1350_optional_reversible,86.467,90.31,0.0,top
SW18,SW_PUSH,Kailh_socket_PG1350_optional_reversible,86.467,71.26,0.0,top
SW19,SW_PUSH,Kailh_socket_PG1350_optional_reversible,86.467,52.21,0.0,top
SW2,SW_PUSH,Kailh_socket_PG1350_optional_reversible,10.267,66.4975,0.0,bottom
SW20,SW_PUSH,Kailh_socket_PG1350_optional_reversible,86.467,33.16,0.0,top
SW21,SW_PUSH,Kailh_socket_PG1350_optional_reversible,105.517,87.9288,0.0,top
SW22,SW_PUSH,Kailh_socket_PG1350_optional_reversible,105.517,68.8788,0.0,bottom
SW23,SW_PUSH,Kailh_socket_PG1350_optional_reversible,105.517,49.8288,0.0,bottom
SW24,SW_PUSH,Kailh_socket_PG1350_optional_reversible,105.517,30.7788,0.0,bottom
SW25,SW_PUSH,Kailh_socket_PG1350_optional_reversible,124.464003,78.4038,0.0,top
SW26,SW_PUSH,Kailh_socket_PG1350_optional_reversible,124.567,59.3538,0.0,top
SW27,SW_PUSH,Kailh_socket_PG1350_optional_reversible,124.567,40.3038,0.0,top
SW28,SW_PUSH,Kailh_socket_PG1350_optional_reversible,125.679015,15.239567,-120.0,top
SW3,SW_PUSH,Kailh_socket_PG1350_optional_reversible,10.267,47.4475,0.0,bottom
SW30,SW_PUSH,Kailh_socket_PG1350_optional_reversible,10.267,9.3475,0.0,bottom
SW31,SW_PUSH,Kailh_socket_PG1350_optional_reversible,29.317,9.3475,0.0,top
SW32,SW_PUSH,Kailh_socket_PG1350_optional_reversible,48.367,14.11,0.0,bottom
SW33,SW_PUSH,Kailh_socket_PG1350_optional_reversible,67.417,16.4913,0.0,bottom
SW34,SW_PUSH,Kailh_socket_PG1350_optional_reversible,96.886984,11.616333,60.0,top
SW35,SW_PUSH,Kailh_socket_PG1350_optional_reversible,116.154015,-1.258433,-120.0,top
SW4,SW_PUSH,Kailh_socket_PG1350_optional_reversible,10.267,28.3975,0.0,bottom
SW41,SW_PUSH,Kailh_socket_PG1350_optional_reversible,137.287015,-2.515533,-120.0,top
SW5,SW_PUSH,Kailh_socket_PG1350_optional_reversible,29.317,85.5475,0.0,top
SW6,SW_PUSH,Kailh_socket_PG1350_optional_reversible,29.317,66.4975,0.0,top
SW7,SW_PUSH,Kailh_socket_PG1350_optional_reversible,29.317,47.4475,0.0,top
SW8,SW_PUSH,Kailh_socket_PG1350_optional_reversible,29.317,28.3975,0.0,top
SW9,SW_PUSH,Kailh_socket_PG1350_optional_reversible,48.367,90.31,0.0,bottom
U1,HOLE,hole,57.892,61.468,0.0,top
U2,HOLE,hole,115.042,78.232,0.0,top
U3,ProMicro,ProMicro_rev,146.4504,70.0,0.0,top
U4,HOLE,hole,109.073,18.542,0.0,top
U5,HOLE,hole,19.792,75.692,0.0,top
U6,ProMicro,ProMicro_rev,149.5804,68.5,0.0,bottom
U7,HOLE,hole,19.792,18.288,0.0,top
U8,HOLE,hole,58.4,25.908,0.0,top
U9,HOLE,hole,51.669,100.584,0.0,top
